"variable","E","k","rho","mae","rmse"
"built_density",2,4,0.469662211316851,0.28512352631654,0.374060736324599
"built_density",2,5,0.479916525020515,0.281573632107691,0.368429946977234
"built_density",2,6,0.486136256146253,0.279973733355047,0.364873384634398
"built_density",2,7,0.490717313001691,0.278664491059518,0.362571922982078
"built_density",2,8,0.495593780679358,0.277312247805409,0.360271363677092
"built_density",2,9,0.497066422630685,0.276880655146446,0.359316350469313
"built_density",2,10,0.497287854131404,0.276819408882519,0.358764721150899
"built_density",2,11,0.498756394897305,0.276620282762097,0.357965565288252
"built_density",2,12,0.49907148254431,0.276609570133811,0.357647114288916
"built_density",2,13,0.499475504234372,0.276544214363699,0.357323686077866
"built_density",2,14,0.5007003274523,0.276270944334893,0.356765515134375
"built_density",2,15,0.501034840845242,0.276152035111526,0.356513959893653
"built_density",2,16,0.501440209704956,0.276105095809324,0.356266388673457
"built_density",2,17,0.501744563353076,0.276166395936922,0.35605473795547
"built_density",3,4,0.55041577899573,0.258420862465335,0.343043047786019
"built_density",3,5,0.560641385986862,0.255873718868129,0.337310039508297
"built_density",3,6,0.572482402937228,0.252707371290482,0.332044911067457
"built_density",3,7,0.578494806359157,0.251685738558911,0.329076863512978
"built_density",3,8,0.583150642898938,0.251237891288123,0.326786439726033
"built_density",3,9,0.58550605530095,0.25078016368025,0.325532075990486
"built_density",3,10,0.589287850524517,0.249936062847686,0.323844055955365
"built_density",3,11,0.592230561300621,0.249394996478157,0.322474996714795
"built_density",3,12,0.595043121684667,0.24874179727687,0.321344990687912
"built_density",3,13,0.597848104303057,0.24798641943034,0.320222853587547
"built_density",3,14,0.599695515766982,0.247689300409147,0.31945629906351
"built_density",3,15,0.601144003148999,0.247530945666287,0.318846360207938
"built_density",3,16,0.601853275306863,0.247551072172218,0.318512119015008
"built_density",3,17,0.603798073250739,0.247236603935487,0.317710018988443
"built_density",4,4,0.671000578216677,0.215984884815681,0.297501808152408
"built_density",4,5,0.682340295970528,0.213852108529776,0.291858594526955
"built_density",4,6,0.689382553754389,0.21282254177781,0.28825024184294
"built_density",4,7,0.692378078358158,0.213089143475932,0.286641724414425
"built_density",4,8,0.694462067307946,0.213440917837967,0.285496676815197
"built_density",4,9,0.695410476158789,0.214277557037235,0.284894472420555
"built_density",4,10,0.698239999201932,0.214264705325848,0.283617604590611
"built_density",4,11,0.703389342179134,0.213432198859498,0.281425869117556
"built_density",4,12,0.704139123784505,0.213670054913635,0.281056165587092
"built_density",4,13,0.705300181053809,0.213896141809497,0.280536004449196
"built_density",4,14,0.705867180190502,0.214256271024793,0.280273763649569
"built_density",4,15,0.707445541006775,0.214171766267816,0.279616770087299
"built_density",4,16,0.70830726695204,0.214340930391513,0.279261867185129
"built_density",4,17,0.708604588314029,0.214642310582266,0.279143405414032
"built_density",5,4,0.782787196703469,0.172389871021358,0.247237440978372
"built_density",5,5,0.789989037651547,0.172609683378944,0.24302702191298
"built_density",5,6,0.7913423754026,0.174118998387349,0.242121804586413
"built_density",5,7,0.793390304125539,0.17434755929143,0.241035576766243
"built_density",5,8,0.794671079076241,0.175411278689394,0.240387823966809
"built_density",5,9,0.795085820821505,0.176290419950594,0.240179356695165
"built_density",5,10,0.796628653466956,0.176760995087102,0.239439644965122
"built_density",5,11,0.795958202371208,0.177607045012104,0.239857935098995
"built_density",5,12,0.793885879889748,0.179398347559673,0.240969489303652
"built_density",5,13,0.793603361290809,0.180529093305658,0.241244308997729
"built_density",5,14,0.792431495142093,0.181883639058556,0.24191755058142
"built_density",5,15,0.792196146993696,0.182659203513746,0.242117930266841
"built_density",5,16,0.790841087646815,0.183921053500033,0.24290945256781
"built_density",5,17,0.790269519740497,0.184729615928657,0.243281243786497
"built_density",6,4,0.843575162466619,0.144091442660253,0.212602921916905
"built_density",6,5,0.841202835726027,0.14680455773301,0.21393748035353
"built_density",6,6,0.842500354690588,0.14788856352073,0.21307709465622
"built_density",6,7,0.844409005926691,0.149090001150147,0.211944954112099
"built_density",6,8,0.845077618171139,0.149997888343908,0.211632131165098
"built_density",6,9,0.844292273223816,0.150993677706503,0.212235692962208
"built_density",6,10,0.844218692668669,0.152693920839343,0.212412810748892
"built_density",6,11,0.843111419858958,0.154081948343583,0.213196835764296
"built_density",6,12,0.842729187634213,0.155363630292699,0.213590345539379
"built_density",6,13,0.841923423273247,0.156418889628193,0.21422518365804
"built_density",6,14,0.839840229583837,0.157829049198539,0.215576172532167
"built_density",6,15,0.83843487089314,0.159034682850396,0.216527664367069
"built_density",6,16,0.837934727581528,0.159862710591857,0.216938762153846
"built_density",6,17,0.83672599680876,0.160956056443839,0.217768780157971
"built_density",7,4,0.88371813600553,0.121941213488884,0.185150642809685
"built_density",7,5,0.88253512459242,0.125079586814192,0.186022877623622
"built_density",7,6,0.881675961679864,0.127258057261502,0.186760972244384
"built_density",7,7,0.879445276380598,0.130216010751339,0.188498405893888
"built_density",7,8,0.879153282143611,0.131322504136903,0.188828133581796
"built_density",7,9,0.877373535810375,0.133013309594362,0.190232326397083
"built_density",7,10,0.874996900141317,0.135276081952687,0.192063407685891
"built_density",7,11,0.873436430261361,0.136819203422035,0.193281484417919
"built_density",7,12,0.870095829395578,0.139236819614286,0.195711690871575
"built_density",7,13,0.86836019254943,0.141035922117926,0.197035693982603
"built_density",7,14,0.867635405213852,0.142139835928147,0.197668540305743
"built_density",7,15,0.865524989962262,0.143911251534005,0.199188795293164
"built_density",7,16,0.863954833792907,0.145518587038849,0.200359902639009
"built_density",7,17,0.863080240063622,0.146688255476042,0.201092809429637
"built_density",8,4,0.904428264492215,0.110411619962898,0.168812650042147
"built_density",8,5,0.905811064774124,0.111662712837244,0.16769382776099
"built_density",8,6,0.902883453662742,0.114873771813692,0.170288691767794
"built_density",8,7,0.902125912842726,0.116662817372384,0.17105048296485
"built_density",8,8,0.899613724101417,0.119425588922605,0.173229087631055
"built_density",8,9,0.897236421394077,0.121856788917024,0.17525222189905
"built_density",8,10,0.89487543068424,0.124236220652997,0.177299326982013
"built_density",8,11,0.892925168997807,0.125744898075232,0.178969190750006
"built_density",8,12,0.89131629653202,0.127730177957385,0.180374158298844
"built_density",8,13,0.889853190516718,0.129251577544269,0.181645251546585
"built_density",8,14,0.88760173175939,0.131401117172478,0.18346753814106
"built_density",8,15,0.88617906032394,0.13301123175014,0.184672651533434
"built_density",8,16,0.885310956378385,0.134191954030942,0.18542143931446
"built_density",8,17,0.883544837539238,0.135603846605667,0.186840104959557
"built_density",9,4,0.916829293396765,0.101910120868793,0.157956071045895
"built_density",9,5,0.917746391219655,0.103232741086078,0.157207848575398
"built_density",9,6,0.913071577582485,0.107597850976152,0.161504266353574
"built_density",9,7,0.911407465056976,0.109641238190597,0.163084324800082
"built_density",9,8,0.91029044524792,0.112062999802914,0.164200923615556
"built_density",9,9,0.907979340071408,0.114550197252598,0.16631161876781
"built_density",9,10,0.904221324710236,0.117403467143637,0.169561257887408
"built_density",9,11,0.901555994302341,0.119642079860645,0.171873003188359
"built_density",9,12,0.900188129608444,0.121221336666825,0.173129234858025
"built_density",9,13,0.897861141504507,0.123446178184124,0.175135927889266
"built_density",9,14,0.89611456062533,0.125071759094638,0.17663372142195
"built_density",9,15,0.894858775624924,0.12627668577223,0.177722969480528
"built_density",9,16,0.893875033140276,0.12763223656918,0.178624736871383
"built_density",9,17,0.892596680760732,0.128829561941346,0.179733111987115
"built_density",10,4,0.917962523636116,0.101310711447442,0.156928632862094
"built_density",10,5,0.917545324403158,0.103416640699067,0.157412895880475
"built_density",10,6,0.915109705697274,0.105966401789162,0.159685621038025
"built_density",10,7,0.911947759339899,0.108733554001367,0.162558388444486
"built_density",10,8,0.910050940742525,0.111456059804891,0.16432479234916
"built_density",10,9,0.908305713221874,0.113375323240125,0.1659179777888
"built_density",10,10,0.906391307210017,0.11549995759999,0.167657123630582
"built_density",10,11,0.904256805646211,0.117526394324171,0.169572741940564
"built_density",10,12,0.902295851717832,0.119659339244972,0.171342209277127
"built_density",10,13,0.900032666920468,0.121697377800039,0.173288447761078
"built_density",10,14,0.898045776657959,0.123370306387705,0.174959516833096
"built_density",10,15,0.89627889159106,0.124838201325979,0.176438798224851
