"variable","E","k","rho","mae","rmse"
"built_density",2,4,0.511404460981653,0.27477844406339,0.364338470900604
"built_density",2,5,0.518241131076259,0.273302528895584,0.359699205108465
"built_density",2,6,0.521193053515372,0.272860622770796,0.357649637703838
"built_density",2,7,0.523773350019711,0.272816049679468,0.35579006068768
"built_density",2,8,0.527352867933971,0.271681303261517,0.354085054775454
"built_density",2,9,0.530727186097748,0.271023476583847,0.352491311802057
"built_density",2,10,0.532101855950223,0.270665769150124,0.351784632687083
"built_density",2,11,0.533563071112452,0.27041304903982,0.351023317751629
"built_density",2,12,0.534333806719511,0.270210931445625,0.350543837034813
"built_density",2,13,0.534018419927438,0.270351203926229,0.350436565200474
"built_density",2,14,0.53493688927776,0.270199058052276,0.349959052998302
"built_density",2,15,0.535798650223645,0.269957229186552,0.34957337569574
"built_density",2,16,0.536452036909473,0.269858448202565,0.349239673265245
"built_density",2,17,0.537034800122238,0.269766019323617,0.348966039386042
"built_density",3,4,0.553210733111414,0.260620156836551,0.347801332677638
"built_density",3,5,0.565765914048553,0.258373175648052,0.341410989566393
"built_density",3,6,0.574833124357748,0.256240536154844,0.336866130488869
"built_density",3,7,0.580954331693949,0.254750051195304,0.333933387133353
"built_density",3,8,0.586793024989545,0.253928623919351,0.33119848149495
"built_density",3,9,0.590176016563509,0.253671127943298,0.329604008841485
"built_density",3,10,0.596289230494948,0.252164951384489,0.327077987966686
"built_density",3,11,0.598025073911264,0.251922134137908,0.326120623269343
"built_density",3,12,0.601278678854626,0.251156745346405,0.324737570704503
"built_density",3,13,0.604945986652175,0.250581591283313,0.323252734947214
"built_density",3,14,0.607339719900769,0.250110561961044,0.322244932546146
"built_density",3,15,0.609509077135239,0.249605224029685,0.321360637187084
"built_density",3,16,0.61132803490366,0.249052503856806,0.32061320975893
"built_density",3,17,0.613105215149834,0.248579959528905,0.319890954325135
"built_density",4,4,0.693110730162201,0.209004599886069,0.294732441350239
"built_density",4,5,0.700030205555477,0.208968446507979,0.29017059221851
"built_density",4,6,0.705474820346424,0.208467737141837,0.287117002111874
"built_density",4,7,0.707808890245474,0.2086340914383,0.285518396742924
"built_density",4,8,0.710848620197439,0.208485793352157,0.283790379001166
"built_density",4,9,0.712749846637553,0.208412366609855,0.282791837597832
"built_density",4,10,0.715725238335161,0.208474366636835,0.281273967093757
"built_density",4,11,0.7200901182496,0.208233922146356,0.27920336822032
"built_density",4,12,0.72138914985219,0.208406167500602,0.278540954451868
"built_density",4,13,0.722111665279075,0.208669678086832,0.278147870651
"built_density",4,14,0.722361117952942,0.209097441790515,0.277986487575324
"built_density",4,15,0.722180317327495,0.209416193082693,0.278011916276062
"built_density",4,16,0.723707118534653,0.209263220251983,0.277307029280806
"built_density",4,17,0.723877622798067,0.209496694398977,0.277214182885518
"built_density",5,4,0.803446353855908,0.165325147063609,0.240088655605171
"built_density",5,5,0.810008018709487,0.164422395594179,0.236022339098429
"built_density",5,6,0.812903881880088,0.164652425899501,0.234136846731418
"built_density",5,7,0.816677299291911,0.164420369333151,0.231855674127523
"built_density",5,8,0.816060465818252,0.16633345805174,0.232194212173779
"built_density",5,9,0.816304665007686,0.167064711156627,0.232067684638753
"built_density",5,10,0.817962593558834,0.167673518193755,0.231180010446325
"built_density",5,11,0.817891982053884,0.168745483694715,0.231279441655563
"built_density",5,12,0.818679834764817,0.169476036305762,0.230903481608776
"built_density",5,13,0.817414702693367,0.170657705475784,0.231665756976076
"built_density",5,14,0.817161076073231,0.171192206666615,0.231874308379332
"built_density",5,15,0.816880554584401,0.171979393289731,0.232109183305633
"built_density",5,16,0.815446715938475,0.173116605151285,0.232987842377241
"built_density",5,17,0.815123969270382,0.173678270199865,0.233244078127861
"built_density",6,4,0.864056923166122,0.134323176159802,0.202433953188215
"built_density",6,5,0.865106329803594,0.135482251496661,0.201528857478226
"built_density",6,6,0.864247357813916,0.137735904946229,0.202097665923326
"built_density",6,7,0.863880749297348,0.13908371893073,0.202373850035432
"built_density",6,8,0.86556528354153,0.139703996791593,0.201283791646849
"built_density",6,9,0.864236666560126,0.141623790208124,0.202268433762272
"built_density",6,10,0.862629483670474,0.143264741772646,0.203457206636686
"built_density",6,11,0.860764750229124,0.144731494257432,0.204805240917954
"built_density",6,12,0.858524243791402,0.146534366202397,0.20639912217408
"built_density",6,13,0.85697991312689,0.148355138341074,0.207557082103441
"built_density",6,14,0.855664780313477,0.149744108004565,0.208534583110632
"built_density",6,15,0.855016865007102,0.150651333269544,0.209066507610599
"built_density",6,16,0.85392138859858,0.151786768753476,0.20987592497634
"built_density",6,17,0.852259003261162,0.153043497624547,0.210991711482028
"built_density",7,4,0.892889884360821,0.117497539692375,0.180974088122271
"built_density",7,5,0.892345740944685,0.119634396162491,0.181329456051481
"built_density",7,6,0.891527159768842,0.121861975394743,0.182006921495355
"built_density",7,7,0.89084029398717,0.123649664471608,0.182585580496513
"built_density",7,8,0.889212255831955,0.125915570588891,0.18397671917564
"built_density",7,9,0.886722214520437,0.127541257754637,0.185983943216356
"built_density",7,10,0.884550322118422,0.129481113294864,0.1877158114796
"built_density",7,11,0.882557345767428,0.131194409932532,0.189298862262481
"built_density",7,12,0.880498446397058,0.133124125043978,0.190917378868015
"built_density",7,13,0.878629524477326,0.135199360602693,0.192394485296005
"built_density",7,14,0.876963572339637,0.13677232435774,0.193699808599699
"built_density",7,15,0.875154407361255,0.138362550367772,0.195075072846724
"built_density",7,16,0.87417808029475,0.13966265175537,0.195889888951854
"built_density",7,17,0.873283571064771,0.140558017013243,0.196619264853029
"built_density",8,4,0.909733122564797,0.10732976442644,0.166879138550131
"built_density",8,5,0.910999396752941,0.108810851753443,0.165733678102137
"built_density",8,6,0.909028378808928,0.111467677229357,0.16751578925425
"built_density",8,7,0.906940179840794,0.113651208901346,0.169405262148884
"built_density",8,8,0.905740201497181,0.115760062101908,0.170526898152834
"built_density",8,9,0.90446732030147,0.11788228608883,0.171728085298137
"built_density",8,10,0.902870552800456,0.119680031615733,0.173204013201991
"built_density",8,11,0.901017153862504,0.12149820950561,0.174861712528682
"built_density",8,12,0.899054611721834,0.123563331583248,0.176567230268932
